"Wholesale request","Заявление на опт",theme,frontend/Project/Ru
"Wholesale form request","Заявление на опт",theme,frontend/Project/Ru
"INN:","ИНН:",theme,frontend/Project/Ru
"Text:","Текст:",theme,frontend/Project/Ru
"Describe please, why you need a wholesale group","Опишите пожалуйста, почему вам нужна оптовая группа",theme,frontend/Project/Ru
"Submit","Отправить",theme,frontend/Project/Ru
", your request successfully sent, please wait for the answer!",", ваш запрос успешно отправлен, ждите ответа!",theme,frontend/Project/Ru
"Your request on pending status, please, wait for the answer.","Ваш запрос в статусе обработки, пожалуйста, ждите ответа.",theme,frontend/Project/Ru
"Your request is success, now you are in customer wholesale group!","Ваш запрос подтвержден, теперь вы относитесь к оптовой группе пользователей!",theme,frontend/Project/Ru
"Your request has been denied.","Ваш запрос отклонен.",theme,frontend/Project/Ru

"Вінницька область","Винницкая область",theme,frontend/Project/Ru
"Волинська область","Волынская область",theme,frontend/Project/Ru
"Дніпропетровська область","Днепропетровская область",theme,frontend/Project/Ru
"Закарпатська область","Закарпатская область",theme,frontend/Project/Ru
"Запорізька область","Запорожская область",theme,frontend/Project/Ru
"Івано-Франківська область","Ивано-Франковская область",theme,frontend/Project/Ru
"Кіровоградська область","Кировоградская область",theme,frontend/Project/Ru
"Луганська область","Луганская область",theme,frontend/Project/Ru
"Донецька область","Донецкая область",theme,frontend/Project/Ru
"Житомирська область","Житомирская область",theme,frontend/Project/Ru
"Київська область","Киевская область",theme,frontend/Project/Ru
"Львівська область","Львовская область",theme,frontend/Project/Ru
"Миколаївська область","Николаевская область",theme,frontend/Project/Ru
"Одеська область","Одесская область",theme,frontend/Project/Ru
"Полтавська область","Полтавская область",theme,frontend/Project/Ru
"Рівненська область","Ровенская область",theme,frontend/Project/Ru
"Сумська область","Сумская область",theme,frontend/Project/Ru
"Тернопільська область","Тернопольская область",theme,frontend/Project/Ru
"Харківська область","Харьковская область",theme,frontend/Project/Ru
"Херсонська область","Херсонская область",theme,frontend/Project/Ru
"Хмельницька область","Хмельницкая область",theme,frontend/Project/Ru
"Черкаська область","Черкасская область",theme,frontend/Project/Ru
"Чернівецька область","Черновицкая область",theme,frontend/Project/Ru
"Чернігівська область","Черниговская область",theme,frontend/Project/Ru
"місто Київ","город Киев",theme,frontend/Project/Ru


"Wholesalers by region:", "Оптовики по областях:",theme,frontend/Project/Ua
"All regions", "Все регионы",theme,frontend/Project/Ua
"Wholesalers in map:", "Карта оптовиков:",theme,frontend/Project/Ua
"No one wholesalers in these region :(", "В этом регионе нет оптовиков :(",theme,frontend/Project/Ua
"No one wholesalers :(", "На данный момент оптовиков нет :(",theme,frontend/Project/Ua

"Default welcome msg!", "Приветствие по умолчанию!",theme,frontend/Project/Ua

"Quick Links", "Быстрые ссылки",theme,frontend/Project/Ua
"Privacy and Cookie Policy", "Политика конфиденциальности и файлов cookie",theme,frontend/Project/Ua
"Wholesalers", "Оптовики",theme,frontend/Project/Ua
"My Account", "Мой аккаунт",theme,frontend/Project/Ua
"Login", "Залогиниться",theme,frontend/Project/Ua
"My Cart", "Корзина",theme,frontend/Project/Ua
"My Compare", "Сравнение",theme,frontend/Project/Ua
"My Wishlist", "Список желаемого",theme,frontend/Project/Ua

"Payment & Shipping", "Оплата и доставка",theme,frontend/Project/Ua
"Terms of Use", "Условия использования",theme,frontend/Project/Ua
"Payment Methods", "Способы оплаты",theme,frontend/Project/Ua
"Shipping Guide", "Доставка",theme,frontend/Project/Ua
"Order Tracking", "Отслеживание заказа",theme,frontend/Project/Ua
"Return % Exchange", "Возврат % Обмен",theme,frontend/Project/Ua

"Quick Contact", "Быстрый контакт",theme,frontend/Project/Ua
"Phone: ", "Телефон: ",theme,frontend/Project/Ua
"Email: ", "Епочта: ",theme,frontend/Project/Ua

"What client say", "Отзывы клиентов",theme,frontend/Project/Ua
"Fashion Designer", "Модельер",theme,frontend/Project/Ua
"Businessman", "Бизнесмен",theme,frontend/Project/Ua
"I recently purchased a Casio watch, and I'm impressed with its quality and style. The sleek design complements both casual and formal outfits perfectly. The stainless steel case feels sturdy, and the timekeeping accuracy is spot on. The leather strap adds a touch of sophistication. Overall, I'm extremely satisfied with my Casio watch and highly recommend it.", "Недавно я приобрел часы Casio, и я поражен его качеством и стилем. Изящный дизайн идеально дополняет как обычный, так и официальный наряд. Корпус из нержавеющей стали выглядит крепким, а точность отсчета времени – на высоте. Кожаный ремешок придает нотку изысканности. В общем я очень доволен своими часами Casio и очень рекомендую их.",theme,frontend/Project/Ua
